incident_id,incident_description,root_cause,corrective_action_type,preventive_action_type,severity_level,cleaned_incident
INC-2020-0703,pH of Microcrystalline Cellulose lot LOT-99817 from PharmChem Ltd measured 7.9 outside specification of 4.2 to 6.6. Material quarantined.,Material / Supplier Defect,System configuration correction,Add in-process checks at critical steps,High,ph of microcrystalline cellulose lot lot 99817 from pharmchem ltd measured 7 9 outside specification of 4 2 to 6 6 material quarantined
INC-2020-0704,Operator OP-4587 added 10.6% excess of Colloidal Silicon Dioxide to batch A3560B during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Root cause investigation and CAPA report,Deploy continuous training programme,High,operator op 4587 added 10 6 excess of colloidal silicon dioxide to batch a3560b during dispensing error not detected until in process check batch placed on hold for investigation
INC-2020-0705,Change control CC-7121 closed without completing all required verification actions. Validation report not attached before closure. Non-compliance found at audit.,Documentation Error,Equipment repair and recalibration,Revise SOP with enhanced controls,Low,change control cc 7121 closed without completing all required verification actions validation report not attached before closure non compliance found at audit
INC-2020-0706,Electronic signature system ChemStation allowed batch E3814C record approval without required second authorised signatory. Workflow configuration error identified.,Software / System Failure,Document revision and re-issuance,Upgrade software with validation,High,electronic signature system chemstation allowed batch e3814c record approval without required second authorised signatory workflow configuration error identified
INC-2020-0707,Incorrect cleaning agent applied to equipment CP-141 following batch B5008B processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Deep cleaning and sanitisation,Introduce dual-person verification,High,incorrect cleaning agent applied to equipment cp 141 following batch b5008b processing cleaning standard operating procedure not consulted prior to cleaning contamination risk assessed
INC-2020-0708,Incorrect cleaning agent applied to equipment EQ-455 following batch D3166A processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Document revision and re-issuance,Enhance supplier qualification process,Low,incorrect cleaning agent applied to equipment eq 455 following batch d3166a processing cleaning standard operating procedure not consulted prior to cleaning contamination risk assessed
INC-2020-0709,Blend uniformity failure detected for batch B2074A. RSD of 5.7% exceeds limit of 8.6%. Blending time was 25.5 minutes against validated 31 minutes.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Low,blend uniformity failure detected for batch b2074a rsd of 5 7 exceeds limit of 8 6 blending time was 25 5 minutes against validated 31 minutes
INC-2020-0710,Centrifuge FP-422 imbalance alarm triggered during processing of batch E3594C. Processing halted at 25% completion. Product integrity requires assessment.,Equipment Failure,Process parameter adjustment,Install automated alarm and alert system,Medium,centrifuge fp 422 imbalance alarm triggered during processing of batch e3594c processing halted at 25 completion product integrity requires assessment
INC-2020-0711,Blend uniformity failure detected for batch C3151A. RSD of 6.2% exceeds limit of 6.8%. Blending time was 8.8 minutes against validated 31 minutes.,Process Deviation,Root cause investigation and CAPA report,Upgrade software with validation,High,blend uniformity failure detected for batch c3151a rsd of 6 2 exceeds limit of 6 8 blending time was 8 8 minutes against validated 31 minutes
INC-2020-0712,Temperature logger software failed to generate alarm when cold room Room D104 exceeded limit. Alarm suppressed by software configuration fault. Exceedance undetected for 6.4 hours.,Software / System Failure,Document revision and re-issuance,Add in-process checks at critical steps,Medium,temperatureerature logger software failed to generate alarm when cold room room d104 exceeded limit alarm suppressed by software configuration fault exceedance undetected for 6 4 hours
INC-2020-0713,Two raw material lots LOT-82803 and LOT-68618 mixed in dispensary during weighing for batch B6224C. Mix-up detected by second operator during verification check.,Human Error,Operator retraining,Revise SOP with enhanced controls,Low,two raw material lots lot 82803 and lot 68618 mixed in dispensary during weighing for batch b6224c mix up detected by second operator during verification check
INC-2020-0714,Operator OP-1187 skipped in-process weight check at 50% completion during tablet compression of batch C2428B. Step omitted from batch record.,Human Error,Deep cleaning and sanitisation,Revise SOP with enhanced controls,High,operator op 1187 skipped in process weight check at 50 completion during tablet compression of batch c2428b step omitted from batch record
INC-2020-0715,Balance TBL-881 failed calibration check before dispensing operations for batch A4598A. Drift of 0.21 g recorded against tolerance of 0.01 g.,Equipment Failure,Process parameter adjustment,Add in-process checks at critical steps,Low,balance tbl 881 failed calibration check before dispensing operations for batch a4598a drift of 0 21 g recorded against tolerance of 0 01 g
INC-2020-0716,API assay for lot LOT-36199 from BioRaw GmbH measured 105.2% against specification of 91.0% to 109.3%.,Material / Supplier Defect,Supplier qualification review,Add in-process checks at critical steps,High,api assay for lot lot 36199 from bioraw gmbh measured 105 2 against specification of 91 0 to 109 3
INC-2020-0717,Temperature logger software failed to generate alarm when cold room Room C303 exceeded limit. Alarm suppressed by software configuration fault. Exceedance undetected for 7.2 hours.,Software / System Failure,Document revision and re-issuance,Add in-process checks at critical steps,Medium,temperatureerature logger software failed to generate alarm when cold room room c303 exceeded limit alarm suppressed by software configuration fault exceedance undetected for 7 2 hours
INC-2020-0718,Environmental monitoring log for cleanroom Room E205 not completed for 76 days. Missing entries overlap with batch A8755B manufacture period.,Documentation Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,High,environmental monitoring log for cleanroom room e205 not completed for 76 days missing entries overlap with batch a8755b manufacture period
