incident_id,incident_description,root_cause,corrective_action_type,preventive_action_type,severity_level
INC-2019-0348,HVAC system failure in cleanroom Room C303 resulted in differential pressure drop below specification. Grade integrity compromised for 3.6 hours during batch A6538B manufacture.,Environmental Control Failure,Product recall and destruction,Install automated alarm and alert system,Medium
INC-2019-0349,New operator OP-7215 in Dispensary performed visual inspection of batch A1906A without completing required visual inspection qualification and certification programme.,Training Gap,Root cause investigation and CAPA report,Introduce dual-person verification,Medium
INC-2019-0350,Positive pressure in filling suite Room 101 lost for 6.6 hours due to door seal failure. Batch C6763A aseptic filling was in progress at time of exceedance.,Environmental Control Failure,Product recall and destruction,Install automated alarm and alert system,High
INC-2019-0351,Tablet press TBL-979 produced tablets with hardness below specification during compression of batch E4372B. Average hardness 3.2 kP against minimum of 8.7 kP.,Equipment Failure,Process parameter adjustment,Implement preventive maintenance schedule,Medium
INC-2019-0352,pH meter CEN-216 gave inconsistent readings during in-process checks on batch B8213C. Calibration check failed with 0.21 pH unit drift from standard.,Equipment Failure,Equipment repair and recalibration,Install automated alarm and alert system,Medium
INC-2019-0353,Calibration certificate for TBL-843 expired 40 days before use during batch E4547A manufacture. Expired status not identified before equipment use.,Documentation Error,Operator retraining,Revise SOP with enhanced controls,Low
INC-2019-0354,Ambient temperature in dispensary Room E205 rose to 24.0 degrees C for 1.1 hours. Temperature-sensitive raw materials dispensed for batch A5493B during exceedance.,Environmental Control Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,High
INC-2019-0355,Microbial contamination detected in Grade A filling area. Environmental monitoring sample returned 46 CFU. Action limit is 5 CFU.,Environmental Control Failure,Root cause investigation and CAPA report,Implement environmental monitoring trend analysis,High
INC-2019-0356,Granule moisture content for batch D5638A measured at 4.9% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Medium
INC-2019-0357,Filling pump CEN-424 showed variable fill volume on line 4. Fill weights ranged 483.1mg to 519.7mg against target for batch D9592C.,Equipment Failure,Root cause investigation and CAPA report,Increase monitoring frequency,Medium
INC-2019-0358,Granulator AC-720 impeller speed dropped from target 80 rpm to 127 rpm during wet granulation of batch E5013B. Granule properties affected.,Equipment Failure,Process parameter adjustment,Implement preventive maintenance schedule,High
INC-2019-0359,Label printing software ChemStation generated incorrect format on labels for batch D6805A. Printed labels did not meet approved artwork specification.,Software / System Failure,Product recall and destruction,Upgrade software with validation,Low
INC-2019-0360,Granule moisture content for batch D3205C measured at 3.8% exceeding validated limit. Additional drying required before compression could proceed.,Process Deviation,Batch quarantine and investigation,Upgrade software with validation,Medium
INC-2019-0361,Dissolution apparatus HP-273 paddle speed not verified prior to testing batch C8973B. Speed found at 56 rpm instead of specified 77 rpm.,Equipment Failure,Process parameter adjustment,Add in-process checks at critical steps,Medium
INC-2019-0362,Certificate of Analysis for Povidone lot LOT-46497 from PackRight Ltd referenced incorrect test method version. GMP documentation non-compliance identified during incoming review.,Material / Supplier Defect,Document revision and re-issuance,Enhance supplier qualification process,Low
INC-2019-0363,Batch record for batch A1130A missing authorised signature at step 16 covering compression. Deviation raised during QA batch record review.,Documentation Error,Root cause investigation and CAPA report,Deploy continuous training programme,Medium
INC-2019-0364,Balance HP-753 failed calibration check before dispensing operations for batch C7230C. Drift of 0.15 g recorded against tolerance of 0.01 g.,Equipment Failure,Equipment repair and recalibration,Install automated alarm and alert system,Low
INC-2019-0365,Print quality failure on label batch LOT-48132 from BioRaw GmbH. Barcode not readable by automated scanner. 15.0% of labels failed reading test.,Material / Supplier Defect,Supplier qualification review,Add in-process checks at critical steps,High
INC-2019-0366,Operator OP-1345 followed previous gowning procedure for Grade A entry. Updated SOP SOP-049 training not completed prior to cleanroom entry.,Training Gap,System configuration correction,Introduce dual-person verification,Medium
INC-2019-0367,Certificate of Analysis for Microcrystalline Cellulose lot LOT-42598 from PharmChem Ltd referenced incorrect test method version. GMP documentation non-compliance identified during incoming review.,Material / Supplier Defect,System configuration correction,Add in-process checks at critical steps,Low
INC-2019-0368,Environmental monitoring trend shows increasing CFU counts in Room C303 over 68 days. Action limit breached during batch B2565C manufacturing period.,Environmental Control Failure,Root cause investigation and CAPA report,Implement environmental monitoring trend analysis,High
INC-2019-0369,Temperature excursion in cold storage Room B202 for 1.2 hours. Temperature reached 8.4 degrees C above upper limit. Batch A7510A products affected.,Environmental Control Failure,Product recall and destruction,Increase monitoring frequency,High
INC-2019-0370,Compressed air moisture content on filling line 1 exceeded 1.6 ppm limit. Batch D9938B potentially affected.,Environmental Control Failure,Root cause investigation and CAPA report,Increase monitoring frequency,High
INC-2019-0371,SCADA system SAP QM for filling line 4 generated incorrect yield for batch C9560B. Discrepancy of 64 units not flagged.,Software / System Failure,Document revision and re-issuance,Deploy continuous training programme,Low
INC-2019-0372,Centrifuge CEN-168 imbalance alarm triggered during processing of batch D3936A. Processing halted at 50% completion. Product integrity requires assessment.,Equipment Failure,Process parameter adjustment,Increase monitoring frequency,Medium
INC-2019-0373,Incorrect expiry date printed on labels for batch B5307C. 1300 units incorrectly labelled before detection by QA inspection.,Human Error,Document revision and re-issuance,Add in-process checks at critical steps,Low
INC-2019-0374,Raw data for batch D8728B testing deleted from system before secondary review completed. Data integrity breach identified during internal audit review.,Documentation Error,Root cause investigation and CAPA report,Deploy continuous training programme,Medium
INC-2019-0375,Operator OP-1414 added 9.5% excess of HPMC to batch A8133C during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Document revision and re-issuance,Revise SOP with enhanced controls,Medium
INC-2019-0376,Fill volume for batch A5473A vials measured outside specification. 41 vials showed fill volume below lower specification limit on filling line.,Process Deviation,Process parameter adjustment,Upgrade software with validation,High
INC-2019-0377,Viable particle count in Grade B area exceeded action limit. 39 CFU per m3 detected at sample point during batch A6450C manufacture.,Environmental Control Failure,Product recall and destruction,Implement environmental monitoring trend analysis,High
INC-2019-0378,Temperature logger software failed to generate alarm when cold room Room B202 exceeded limit. Alarm suppressed by software configuration fault. Exceedance undetected for 5.3 hours.,Software / System Failure,Document revision and re-issuance,Add in-process checks at critical steps,Low
INC-2019-0379,Filling pump AC-678 showed variable fill volume on line 3. Fill weights ranged 480.9mg to 513.6mg against target for batch C3916B.,Equipment Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,Low
INC-2019-0380,Operator OP-9409 set drying temperature to 78.0 degrees C instead of specified 30.3 degrees C for batch C9253C. Deviation noted after 7.2 hours of processing.,Human Error,Document revision and re-issuance,Revise SOP with enhanced controls,Low
